T,18,1,0.8355350E+05,5754110E-03,-0.8776E+02,-0.8048E+02,0.9997935,-0.0197054,-0.0049632
T,19,1,0.8407982E+05,5753506E-03,-0.1716E+03,0.1272E+03,0.9970443,0.0156961,-0.0752082
T,20,1,0.8372521E+05,5753614E-03,0.2043E+03,0.5451E+01,0.9969550,0.0752259,0.0205363
T,21,1,0.8408939E+05,5754571E-03,-0.4170E+03,0.3262E+03,0.9957611,-0.0519943,0.0758715
T,22,1,0.8238435E+05,5753825E-03,0.1199E+03,0.3580E+02,0.9956373,0.0410463,0.0837943
T,23,1,0.8419557E+05,5753918E-03,-0.9034E+02,0.9117E+02,0.9997624,-0.0004487,0.0217909
T,24,1,0.8344037E+05,5755327E-03,0.8396E+02,0.4845E+02,0.9991087,0.0014964,-0.0421853
T,25,1,0.8283508E+05,5755418E-03,-0.7978E+01,-0.6714E+02,0.9999594,-0.0009297,0.0089620
T,26,1,0.8324966E+05,5752996E-03,0.3930E+03,0.1915E+03,0.9947348,0.0904724,0.0481405
T,27,1,0.8413359E+05,5752531E-03,-0.9848E+02,-0.3566E+02,0.9940625,-0.0952541,-0.0525966
T,28,1,0.8218327E+05,5750708E-03,-0.2505E+03,0.1045E+03,0.9886684,-0.0804149,0.1267607
T,29,1,0.8337653E+05,5753115E-03,-0.4070E+03,0.1950E+03,0.9936115,-0.1066356,0.0369467
T,30,1,0.8333363E+05,5753315E-03,-0.1028E+03,-0.1069E+03,0.9994520,-0.0183929,-0.0275215
T,31,1,0.8238021E+05,5755203E-03,-0.3820E+02,-0.1138E+03,0.9984611,0.0128943,0.0539365
T,32,1,0.8477327E+05,5755182E-03,0.2008E+03,-0.1113E+03,0.9986935,-0.0019632,-0.0510627
T,33,1,0.8359690E+05,5753989E-03,0.4555E+03,-0.4098E+02,0.9998272,0.0124265,-0.0138222
T,34,1,0.8121337E+05,5755131E-03,0.2188E+03,0.2779E+02,0.9999106,-0.0025857,0.0131196
T,35,1,0.8370605E+05,5754812E-03,-0.4246E+01,0.1657E+03,0.9976917,0.0125774,0.0667320
T,36,1,0.8156527E+05,5752685E-03,-0.1573E+02,0.6081E+03,0.9917885,0.0047502,0.1278003
T,37,1,0.8078275E+05,5755113E-03,0.1144E+03,0.1282E+03,0.9998871,0.0149402,-0.0015821
T,38,1,0.8175549E+05,5753235E-03,-0.5954E+02,-0.3479E+03,0.9708826,-0.0452945,-0.2352347
T,39,1,0.8409954E+05,5752644E-03,-0.1979E+03,0.2302E+03,0.9948844,-0.0888192,0.0481265
T,40,1,0.8310446E+05,5753252E-03,-0.1988E+03,0.1487E+03,0.9985780,-0.0229820,0.0481025
T,41,1,0.8241518E+05,5754765E-03,0.8015E+02,0.1415E+03,0.9992164,-0.0385606,-0.0089233
T,42,1,0.8270260E+05,5751479E-03,0.5117E+03,0.1229E+03,0.9922838,0.1239514,-0.0029843
T,43,1,0.8469403E+05,5755058E-03,0.4302E+02,-0.1378E+03,0.9996763,-0.0130440,0.0218420
T,44,1,0.8263317E+05,5754707E-03,0.6295E+02,-0.1977E+03,0.9969297,0.0689622,-0.0370860
T,45,1,0.8184115E+05,5753124E-03,0.9640E+02,-0.9447E+02,0.9979755,0.0619379,-0.0144441
T,46,1,0.8273390E+05,5753394E-03,0.9551E+02,0.3305E+02,0.9978710,0.0228876,-0.0610705
T,47,1,0.8295413E+05,5750991E-03,-0.1300E+03,0.1321E+03,0.9620611,-0.1182198,0.2458912
T,48,1,0.8534615E+05,5753832E-03,-0.3679E+02,-0.6169E+01,0.9966728,-0.0143460,0.0802345
T,49,1,0.8515268E+05,5753482E-03,0.1056E+03,-0.8783E+02,0.9989537,0.0456337,0.0030121
T,50,1,0.8471528E+05,5753276E-03,-0.1181E+03,-0.1734E+03,0.9929086,-0.0327715,-0.1142738
T,51,1,0.8152339E+05,5752795E-03,-0.8350E+02,-0.1539E+03,0.9987759,-0.0486835,0.0087556
T,52,1,0.8414136E+05,5750891E-03,-0.2331E+03,-0.1731E+03,0.9876768,-0.1563921,0.0060045
T,53,1,0.8432425E+05,5754254E-03,-0.6447E+02,-0.3270E+01,0.9996822,-0.0057682,0.0245413
T,54,1,0.8221746E+05,5752270E-03,-0.4430E+03,0.5086E+03,0.9855308,-0.0660966,0.1560780
